GID99999990	能量步枪
GID00031058	药物上瘾次数
GID00031059	主菜单
GID00031060	欢迎升级到 [%] 级
GID00031062	请稍候
GID00031063	拆除地雷数量
GID00031065	<未绑定>
GID00031066	没有钱继续赌下去了
GID00031067	系统正在
GID00031068	继续运行可执行文件？
GID00031069	说服成功次数
GID00031070	向右平移
GID00031072	新游戏
GID00031073	New
GID00031074	你不能在受到辐射时睡觉
GID00031075	重量
GID00031076	进入中
GID00031077	成功偷窃次数
GID00031078	发夹
GID00031079	炸弹暗杀次数
GID00031080	开始新游戏？
GID00031081	导航
GID00031082	已锁
GID00031083	阴影淡出
GID00031084	主音量
GID00031085	自定义
GID00031086	阅读书籍数量
GID00031087	凡夫俗子
GID00031088	拳击
GID00031089	搜索
GID00031090	保持距离
GID00031091	低
GID00031092	胡须环形度 轻/重
GID00031094	找到摇头娃娃数量
GID00031096	等级
GID00031097	选择[%]个特长
GID00031098	人们还不够了解你，对你还没什么看法
GID00031099	一月
GID00031100	制造武器数量
GID00031101	球
GID00031102	进食恢复的生命值
GID00031103	键位设置
GID00031104	您必须关闭当前游戏以改变分辨率
GID00031105	饮用水量
GID00031106	游戏杆右
GID00031107	自动存档内容已损坏，你想覆盖吗？
GID00031108	高/低
GID00031109	Y轴灵敏度
GID00031110	上/下（内侧）
GID00031111	［未找到存档］
GID00031112	上/下（外侧）
GID00031113	低/高
GID00031114	重置
GID00031115	新存档
GID00031116	四肢
GID00031117	轻微/明显
GID00031118	你想移动或移除你的标记吗？
GID00031119	窄/宽
GID00031120	恶名下降
GID00031121	赢/输：
GID00031122	分牌
GID00031123	凹/凸
GID00031124	圆滑/瘦削
GID00031125	整体（脸部）
GID00031126	你的攻击没有效果
GID00031127	英尺
GID00031128	向前/向后
GID00031129	眉毛 外侧 亮/暗
GID00031130	电台
GID00031131	冷漠
GID00031132	改变武器
GID00031133	配料
GID00031134	锁定
GID00031135	无法移除已装备物品
GID00031136	进程中
GID00031137	瞄准
GID00031138	终端已锁定
GID00031139	此存档包含了一些不再存在的内容，部分物品可能无法使用，继续载入？
GID00031140	请联系管理员
GID00031141	你的技能等级太低了
GID00031142	头发
GID00031143	显示当前任务涉及的记录
GID00031144	伤害
GID00031145	右摇杆上
GID00031146	声音文件
GID00031147	弹
GID00031148	角色效果
GID00031149	赢得最大的一比：
GID00031150	制作名单
GID00031151	新游戏
GID00031152	上一页
GID00031153	小
GID00031154	近战武器－单手
GID00031155	赌注总数：
GID00031157	换手
GID00031158	状态
GID00031159	雾
GID00031160	日落节
GID00031162	您确定想要覆盖此存档？
GID00031163	下注
GID00031164	您现在不能卸下该装备
GID00031165	完成:[%]
GID00031166	任务失败
GID00031167	能力
GID00031168	准星
GID00031169	人们觉得你某种意义上算个英雄，但你有的时候真心很讨厌
GID00031170	嘴唇 撅起/收缩
GID00031171	已完成任务细节
GID00031172	变种人威胁者
GID00031173	手榴弹
GID00031174	十字钮 左
GID00031175	十字钮 下
GID00031176	发牌人正在洗牌，以防作弊
GID00031177	医疗技能
GID00031178	杂物淡出
GID00031179	唇
GID00031181	“睡魔先生”杀人数量
GID00031182	花费： [%] 瓶盖
GID00031184	鼻影
GID00031185	“麻痹掌”麻痹数量
GID00031187	正在被消耗
GID00031188	区域
GID00031189	发牌
GID00031190	瘫痪机器人数量
GID00031191	眉脊 高/低
GID00031192	你不能在别人的的床上睡觉
GID00031194	你的人格很混乱，看上去反复无常的行为让人们无比困惑，无法妄下定论
GID00031195	[%]恶名上升！
GID00031196	合同完成数量
GID00031197	物品没有足够的能量
GID00031198	你想淬毒于
GID00031199	召唤
GID00031200	食尸数量
GID00031201	神秘陌生人出现次数
GID00031202	减注
GID00031203	额 向前倾斜/向后倾斜
GID00031204	使用医生手提袋
GID00031205	吃
GID00031206	你不能在跳跃或跌落时进行快速旅行
GID00031207	新内容已添加，你必须重启游戏以使用这些内容，所有未保存存档将会丢失
GID00031208	脸部 圆滑/削瘦
GID00031209	挑战完成
GID00031210	向左平移
GID00031211	鼻根 浅/深
GID00031212	幸运小姐出现次数
GID00031213	树木淡出
GID00031214	对话字幕
GID00031215	玩家视角
GID00031216	读取存档
GID00031217	宽阔/凹陷
GID00031218	嘴 快乐/悲伤
GID00031219	解体
GID00031220	在战斗中你不能修理物品
GID00031222	缩回/伸出
GID00031223	长度
GID00031224	现在大家知道你是坏人了，大部分人都会马上憎恨你
GID00031226	你已经发现了
GID00031228	设备
GID00031229	修理服务
GID00031230	浅/深
GID00031232	你在偷窃时被捉住了
GID00031233	快速读取中…
GID00031234	小/大
GID00031235	长/短
GID00031236	攻击
GID00031237	宽/窄
GID00031238	继续
GID00031239	星期三
GID00031240	转动
GID00031241	下/上
GID00031242	任务已完成
GID00031243	你已经退出账户，现在将回到游戏标题画面
GID00031244	确定读取此存档？未保存进度将丢失
GID00031245	选择
GID00031246	黑色
GID00031247	撬锁技能
GID00031248	向里倾斜/向外倾斜
GID00031250	色调
GID00031251	目标
GID00031253	一些下载的内容已损坏，无法加载
GID00031254	后援
GID00031255	靠近/分离
GID00031256	请为您建立的角色
GID00031257	名字
GID00031258	输入一个名字
GID00031259	选择的存储设备无充足空间，自动存档将无法使用，继续读取存档？
GID00031260	效果
GID00031261	整体
GID00031262	不管它
GID00031263	弃牌
GID00031264	显示所有记录
GID00031265	魔法学派
GID00031266	自动保存中……
GID00031267	鼻孔 小/大
GID00031268	保存进度
GID00031269	您不能为该物品设置热键
GID00031270	修理
GID00031271	鼻 平/尖
GID00031272	辅助
GID00031273	添加
GID00031274	为
GID00031276	春季
GID00031277	儿童不能使用
GID00031278	偷袭成功！
GID00031279	选择 [%] 个技能
GID00031281	的偷窃未受到惩罚
GID00031282	种族描述
GID00031283	你的饥饿程度下降了
GID00031285	您尚未登入任何游戏档案，您必须登入一个游戏档案，并选择存储设备，方能保存，在此之前，无法使用自动保存功能
GID00031286	你现在无法装备此物品
GID00031287	嘴 伸出/缩回
GID00031288	唇膏 深红/浅蓝
GID00031289	脸颊
GID00031291	你不能再往这个方向走了，请回头
GID00031292	赚得：
GID00031295	你已经对 [%] 上瘾了，
GID00031297	你不能在当前地点进行等待
GID00031298	停播音频
GID00031299	残废了
GID00031300	美名下降
GID00031301	挑战进度
GID00031302	四肢残疾
GID00031303	游戏
GID00031304	点
GID00031305	说服失败
GID00031306	［新存档］
GID00031307	制作物品数量
GID00031308	滚轮
GID00031309	鼠标灵敏度
GID00031310	颌颈倾斜 高/低
GID00031311	下颚 向前/向后
GID00031312	每天你只能施展一次能力
GID00031313	改造武器
GID00031314	调制
GID00031315	&放弃
GID00031316	修理物品
GID00031317	技能
GID00031318	角色
GID00031320	杀死活物总数
GID00031321	偷窃时你不能把物品放在容器中
GID00031322	你不能在战斗中阅读书籍！
GID00031324	偶数
GID00031325	一般字幕
GID00031326	行动
GID00031327	你现在被沉默了
GID00031328	肢解肢体数量
GID00031329	界面颜色
GID00031330	商队牌游戏获胜
GID00031331	玩商队牌
GID00031332	发型
GID00031334	嘴 反颌/覆咬合
GID00031336	颌 缩回/伸出
GID00031337	［成功］
GID00031338	商队牌游戏败北
GID00031339	技工
GID00031340	PS3游戏手柄Ｘ
GID00031341	你尚未探索该地区
GID00031342	弹药不足
GID00031343	眉、鼻、颏
GID00031344	交易总额
GID00031345	PS3游戏手柄Y轴
GID00031347	切换弹药
GID00031348	你必须退出并重启《辐射：新维加斯》以使新的分辨率生效
GID00031349	退出
GID00031350	额、鼻
GID00031351	力量
GID00031352	骑乘
GID00031354	如果你现在退出，你押下的赌金会被没收，你确认你想放弃这一局吗？
GID00031355	重/轻
GID00031356	次要能力
GID00031357	修理技能
GID00031358	你没有资金来玩商队牌
GID00031359	左键
GID00031360	选择的存储设备无充足空间，请选择另一存储设备或删除一些已存在的存档文件
GID00031361	最大
GID00031362	准确匹配！
GID00031363	卖出
GID00031364	吗啡-X
GID00031365	前倾/后倾
GID00031366	向前倾斜/向后倾斜
GID00031369	交谈
GID00031370	步枪
GID00031371	输入代码
GID00031372	下颚
GID00031373	接受
GID00031374	站立
GID00031376	杀戮挑战
GID00031377	切换武器准备状态
GID00031379	[%]声誉上升！
GID00031380	右摇杆 左/右
GID00031381	净收入：
GID00031383	右摇杆 上/下
GID00031384	选择
GID00031385	出牌
GID00031386	脸部 重/轻
GID00031388	口渴
GID00031389	效果抵抗
GID00031390	盘口：
GID00031391	锁具等级
GID00031392	改造
GID00031393	完成
GID00031395	左摇杆 左/右
GID00031396	左摇杆 左
GID00031397	拖曳
GID00031398	读取这个存档?
GID00031399	护甲
GID00031402	左摇杆 上/下
GID00031403	添加
GID00031404	脸部 额、鼻根、鼻 比例
GID00031405	道德值大幅提升！
GID00031406	点
GID00031408	四月
GID00031409	你的右腿残废了
GID00031413	使用近战
GID00031414	离开游戏
GID00031415	此物品正被他人使用
GID00031416	生命
GID00031417	不
GID00031419	激活这个任务
GID00031420	星期二
GID00031421	状态
GID00031422	将此设定作为默认设定？
GID00031423	你对超级变种人的歼灭已成为传奇，这为你对他们的攻击提供了加成
GID00031424	左摇杆 上
GID00031425	已知效果
GID00031426	效果
GID00031427	轮盘赌参与次数
GID00031428	近战武器－徒手
GID00031429	总资金：
GID00031430	你不能在生命值受到伤害时睡觉
GID00031431	还剩 [%] 个特质
GID00031432	废物
GID00031433	夏季
GID00031434	星期一
GID00031435	黑杰克参与次数
GID00031436	打开物品栏
GID00031437	眼睑 苍白/红润
GID00031438	显示地点
GID00031439	玩老虎机次数
GID00031440	你准备对这名无辜镇民做什么？
GID00031441	范围
GID00031442	未选择存储设备，不会保存设置
GID00031443	非常善良
GID00031444	眉毛 低处 亮/暗
GID00031445	皮肤
GID00031446	地雷
GID00031447	跳跃
GID00031448	剩余时间：
GID00031449	用 [%] 开锁
GID00031450	下颚 鼓出/凹陷
GID00031451	开始
GID00031452	暂停
GID00031453	能量手枪
GID00031454	哔哔小子
GID00031455	取消赌注
GID00031456	［失败］
GID00031457	你没有发夹了
GID00031458	装备
GID00031459	技能要求
GID00031460	主音量
GID00031461	你不能在这里进行等待，警报正在播报你的名字
GID00031462	眉毛
GID00031463	草药
GID00031464	右摇杆 下
GID00031465	目前赌注：
GID00031466	倾斜 高/低
GID00031467	性别
GID00031469	重
GID00031470	你的 [%] 技能需要达到[%]点才能破解此终端
GID00031472	播放
GID00031473	你的受辐射等级已降低
GID00031474	眼睛 小/大
GID00031476	VDSG板
GID00031477	该物品只能从其他地方启动
GID00031478	你在这个群体中留下的美名盖过了你的恶行
GID00031480	新手
GID00031481	该按钮无法重新设定
GID00031482	电台音量
GID00031483	张开/闭合
GID00031484	快乐/悲伤
GID00031485	你的脱水程度下降了
GID00031486	自定义
GID00031487	第一栽种节
GID00031488	你已经达到了当前级别的训练极限
GID00031489	你不能在水下进行等待
GID00031491	干瘪/肥厚
GID00031492	细节
GID00031493	右摇杆 左/右
GID00031494	操纵杆
GID00031495	善良
GID00031496	视野距离
GID00031497	无
GID00031498	大/小
GID00031499	潜行
GID00031501	右摇杆 上/下
GID00031502	皱起/收缩
GID00031503	使用
GID00031504	辐射
GID00031505	袭击
GID00031506	北风祷
GID00031507	接受
GID00031508	赔率明细
GID00031509	凸/凹
GID00031510	此存档包含的可下载内容已不存在，部分物品可能无法使用，继续载入？
GID00031511	向上倾斜/向下倾斜
GID00031512	漂白
GID00031513	男性
GID00031514	手枪
GID00031515	用钥匙打开容器
GID00031516	装备此物品需要完成动力装甲训练
GID00031517	饥饿
GID00031518	整体
GID00031519	面部
GID00031520	棕色
GID00031521	南风祷
GID00031522	左摇杆 左/右
GID00031523	你不能在非法入侵时进行等待
GID00031524	巧克力
GID00031525	［暴露］
GID00031526	接受
GID00031527	左摇杆 上/下
GID00031528	当敌人在附近时你不能进行快速旅行
GID00031529	没有发现有效的存档
GID00031530	铂金色
GID00031531	额
GID00031532	眼睛
GID00031533	玉米穗黄
GID00031534	杂物
GID00031535	进行中的任务
GID00031536	丢弃
GID00031537	升级进度
GID00031538	自动
GID00031539	麂皮色
GID00031540	头发
GID00031541	你不能在攻击时更换武器
GID00031542	按钮
GID00031543	核桃色
GID00031544	填装
GID00031545	红褐色
GID00031546	十字钮 右
GID00031547	小时
GID00031548	姜黄色
GID00031549	卸下
GID00031550	名字
GID00031552	好
GID00031553	热键1
GID00031554	载入存档吗？
GID00031555	休息时存档
GID00031556	蜜色
GID00031557	左摇杆 左
GID00031558	骗子
GID00031559	热键3
GID00031561	你不能在警卫追捕你时进行快速旅行
GID00031562	继续
GID00031563	开启
GID00031564	该生物已被安抚，无法回应
GID00031566	法外之徒
GID00031567	热键4
GID00031568	墙头草
GID00031570	热键5
GID00031571	脚步音量
GID00031572	预设：
GID00031573	胡须底色 古铜/灰白
GID00031574	落草寇
GID00031575	热键6
GID00031576	罗科工业公司 (TM) 终端链路协议
GID00031577	你没有足够的魔力
GID00031578	阔佬
GID00031579	热键7
GID00031580	0
GID00031581	烧灼工具
GID00031582	或
GID00031583	你已经有了这种绑定物品
GID00031584	响马贼
GID00031586	热键8
GID00031587	按任意键继续
GID00031588	启用帮助
GID00031589	废土流寇
GID00031590	双手武器
GID00031591	游戏杆左
GID00031592	撬锁
GID00031593	赠送
GID00031594	叛徒
GID00031595	近战武器 - 投掷
GID00031596	贴身
GID00031597	随机生成
GID00031598	下颚 宽/窄
GID00031599	她的
GID00031600	荒漠恶徒
GID00031601	踩踏
GID00031603	辐射抵抗
GID00031604	眼睛 靠近/分离
